1.32.96.0,1.32.127.255,AU
1.128.0.0,1.255.255.255,TH
2.16.0.0,2.19.255.255,FR
2.20.0.0,2.21.255.255,PT
3.0.0.0,3.255.255.255,US
5.0.0.0,5.255.255.255,DE
8.0.0.0,8.255.255.255,US
13.0.0.0,13.255.255.255,US
15.0.0.0,15.255.255.255,US
16.0.0.0,16.255.255.255,US
17.0.0.0,17.255.255.255,US
18.0.0.0,18.255.255.255,US
19.0.0.0,19.255.255.255,US
20.0.0.0,20.255.255.255,US
23.0.0.0,23.255.255.255,US
24.0.0.0,24.255.255.255,US
25.0.0.0,25.255.255.255,GB
26.0.0.0,26.255.255.255,US
27.0.0.0,27.255.255.255,US
28.0.0.0,28.255.255.255,US
29.0.0.0,29.255.255.255,US
30.0.0.0,30.255.255.255,US
31.0.0.0,31.255.255.255,NL
32.0.0.0,32.255.255.255,US
33.0.0.0,33.255.255.255,US
34.0.0.0,34.255.255.255,US
35.0.0.0,35.255.255.255,US
36.0.0.0,36.255.255.255,AU
37.0.0.0,37.255.255.255,DE
38.0.0.0,38.255.255.255,US
39.0.0.0,39.255.255.255,SE
40.0.0.0,40.255.255.255,US
41.0.0.0,41.255.255.255,ZA
42.0.0.0,42.255.255.255,CN
43.0.0.0,43.255.255.255,JP
44.0.0.0,44.255.255.255,US
45.0.0.0,45.255.255.255,DK
46.0.0.0,46.255.255.255,RU
47.0.0.0,47.255.255.255,US
48.0.0.0,48.255.255.255,US
49.0.0.0,49.255.255.255,DE
50.0.0.0,50.255.255.255,US
51.0.0.0,51.255.255.255,GB
52.0.0.0,52.255.255.255,US
53.0.0.0,53.255.255.255,GB
54.0.0.0,54.255.255.255,US
55.0.0.0,55.255.255.255,US
56.0.0.0,56.255.255.255,US
57.0.0.0,57.255.255.255,US
58.0.0.0,58.255.255.255,AU
59.0.0.0,59.255.255.255,TW
60.0.0.0,60.255.255.255,CN
61.0.0.0,61.255.255.255,AU
62.0.0.0,62.255.255.255,RU
63.0.0.0,63.255.255.255,US
64.0.0.0,64.255.255.255,US
65.0.0.0,65.255.255.255,US
66.0.0.0,66.255.255.255,US
67.0.0.0,67.255.255.255,US
68.0.0.0,68.255.255.255,US
69.0.0.0,69.255.255.255,US
70.0.0.0,70.255.255.255,US
71.0.0.0,71.255.255.255,US
72.0.0.0,72.255.255.255,US
73.0.0.0,73.255.255.255,US
74.0.0.0,74.255.255.255,US
75.0.0.0,75.255.255.255,US
76.0.0.0,76.255.255.255,US
77.0.0.0,77.255.255.255,DE
78.0.0.0,78.255.255.255,SE
79.0.0.0,79.255.255.255,PL
80.0.0.0,80.255.255.255,GB
81.0.0.0,81.255.255.255,DE
82.0.0.0,82.255.255.255,RU
83.0.0.0,83.255.255.255,RU
84.0.0.0,84.255.255.255,US
85.0.0.0,85.255.255.255,DE
86.0.0.0,86.255.255.255,RU
87.0.0.0,87.255.255.255,RU
88.0.0.0,88.255.255.255,DE
89.0.0.0,89.255.255.255,RU
90.0.0.0,90.255.255.255,RU
91.0.0.0,91.255.255.255,RU
92.0.0.0,92.255.255.255,RU
93.0.0.0,93.255.255.255,RU
94.0.0.0,94.255.255.255,RU
95.0.0.0,95.255.255.255,RU
96.0.0.0,96.255.255.255,US
97.0.0.0,97.255.255.255,US
98.0.0.0,98.255.255.255,US
99.0.0.0,99.255.255.255,US
100.0.0.0,100.255.255.255,US
101.0.0.0,101.255.255.255,CN
102.0.0.0,102.255.255.255,ZA
103.0.0.0,103.255.255.255,SG
104.0.0.0,104.255.255.255,US
105.0.0.0,105.255.255.255,ZA
106.0.0.0,106.255.255.255,TH
107.0.0.0,107.255.255.255,US
108.0.0.0,108.255.255.255,US
109.0.0.0,109.255.255.255,DE
110.0.0.0,110.255.255.255,CN
111.0.0.0,111.255.255.255,CN
112.0.0.0,112.255.255.255,CN
113.0.0.0,113.255.255.255,CN
114.0.0.0,114.255.255.255,CN
115.0.0.0,115.255.255.255,CN
116.0.0.0,116.255.255.255,AU
117.0.0.0,117.255.255.255,CN
118.0.0.0,118.255.255.255,CN
119.0.0.0,119.255.255.255,CN
120.0.0.0,120.255.255.255,AU
121.0.0.0,121.255.255.255,AU
122.0.0.0,122.255.255.255,AU
123.0.0.0,123.255.255.255,JP
124.0.0.0,124.255.255.255,CN
125.0.0.0,125.255.255.255,AU
126.0.0.0,126.255.255.255,CN
127.0.0.0,127.255.255.255,US
128.0.0.0,128.255.255.255,US
129.0.0.0,129.255.255.255,US
130.0.0.0,130.255.255.255,US
131.0.0.0,131.255.255.255,DE
132.0.0.0,132.255.255.255,US
133.0.0.0,133.255.255.255,JP
